,,,,Apr-24,,
Grupo,Especie,Variedad/tipo,Unidad,min,max,Categoría
Hortalizas de hoja y aromáticas,Acelga,,$/docena,465.7,551.4,II
Hortalizas de hoja y aromáticas,Albahaca,,$/docena,354.4,434,II
Hortalizas de hoja y aromáticas,Alcaucil,Porteño/Espina,$/docena,0,0,II
Hortalizas de hoja y aromáticas,Apio,Hoja,$/docena,868.4,"1,044.70",I
Hortalizas de hoja y aromáticas,Apio,Planta,$/docena,880.6,"1,064.50",II
Hortalizas de hoja y aromáticas,Berro,,$/docena,531.3,681.3,I
Hortalizas de hoja y aromáticas,Brócoli,,$/docena,777.3,945.5,I
Hortalizas de hoja y aromáticas,Cebolla Verdeo,,$/docena,640.5,771.4,II
Hortalizas de hoja y aromáticas,Choclo,Superdulce,$/docena,342.9,411.9,I
Hortalizas de hoja y aromáticas,Ciboulette,,$/docena,440.6,540.6,I
Hortalizas de hoja y aromáticas,Col Chino,,$/docena,400,500,I
Hortalizas de hoja y aromáticas,Coliflor,,$/docena,805.9,964.7,I
Hortalizas de hoja y aromáticas,Endivia,,$/docena,0,0,II
Hortalizas de hoja y aromáticas,Escarola,,$/docena,187.5,287.5,II
Hortalizas de hoja y aromáticas,Espárrago,,$/docena,"4,095.40","4,430.80",I
Hortalizas de hoja y aromáticas,Espinaca,,$/docena,453.4,536.2,I
Hortalizas de hoja y aromáticas,Lechuga,Mantecosa,$/docena,309.7,371,II
Hortalizas de hoja y aromáticas,Lechuga,Crespa,$/docena,330.9,394.1,I
Hortalizas de hoja y aromáticas,Nabiza,,$/docena,0,0,II
Hortalizas de hoja y aromáticas,Nabo,,$/docena,854.4,"1,034.40",I
Hortalizas de hoja y aromáticas,Perejil,,$/docena,"1,511.40","1,783.70",I
Hortalizas de hoja y aromáticas,Puerro,,$/docena,687.5,797.5,E
Hortalizas de hoja y aromáticas,Rabanito,,$/docena,350,428.3,I
Hortalizas de hoja y aromáticas,Radicha,,$/docena,300,350,I
Hortalizas de hoja y aromáticas,Remolacha,,$/docena,783.5,918.6,II
Hortalizas de hoja y aromáticas,Repollito Bruselas,,$/docena,483.3,576.7,I
Hortalizas de hoja y aromáticas,Repollo,Blanco,$/docena,777.4,906.5,I
Hortalizas de hoja y aromáticas,Repollo,Colorado,$/docena,812.5,970.8,II
Hortalizas de hoja y aromáticas,Repollo,Crespo,$/docena,0,0,I
Hortalizas de hoja y aromáticas,Rúcula,,$/docena,456.3,531.3,II
Exóticos/Importados,Ananá,,$/kg,80.3,92.6,I
Exóticos/Importados,Banana,,$/kg,41.9,45.7,I
Exóticos/Importados,Coco,,$/kg,98.8,108.8,I
Exóticos/Importados,Jengibre,,$/kg,145.9,178.5,I
Exóticos/Importados,Mamon,,$/kg,130.6,143.1,E
Exóticos/Importados,Mango,,$/kg,136.9,164.3,E
Exóticos/Importados,Palta,,$/kg,175.8,196.2,I
Legumbres,Arveja,,$/kg,0,0,II
Legumbres,Chaucha,Chata,$/kg,131.6,153.8,I
Legumbres,Chaucha,Redonda amarilla,,143.1,165.6,II
Legumbres,Chaucha,Redonda verde,$/kg,148.8,172.5,I
Legumbres,Habas,,$/kg,0,0,I
Hortalizas de Fruto,Ají,Dulce/Picante,$/kg,64.4,74.4,E
Hortalizas de Fruto,Berenjena,,$/kg,57.8,65.7,E
Hortalizas de Fruto,Morrón,Rojo,$/kg,91,99.2,II
Hortalizas de Fruto,Morrón,Verde,$/kg,66.8,72.7,I
Hortalizas de Fruto,Morrón ,Amarillo,$/kg,97.6,106,E
Hortalizas de Fruto,Pepino,,$/kg,29,36.3,I
Hortalizas de Fruto,Tomate,Cherry,$/kg,151.8,170.5,I
Hortalizas de Fruto,Tomate,Redondo,$/kg,65.3,76.1,II
Hortalizas de Fruto,Tomate,Perita,$/kg,78.6,91.1,I
Hortalizas de Fruto,Zapallito,,$/kg,41,48.5,I
Hortalizas de Fruto,Zuchini,,$/kg,71.3,81.3,II
Hortalizas secas,Ajo ,,$/cab,18.4,21,I
Hortalizas secas,Boniato,Criollo,$/kg,16.9,20.8,II
Hortalizas secas,Boniato,Zanahoria,$/kg,22.2,26.8,I
Hortalizas secas,Calabacín,,$/kg,17.9,21.2,I
Hortalizas secas,Calabaza,,$/kg,0,0,I
Hortalizas secas,Cebolla,,$/kg,26.9,30.8,I
Hortalizas secas,Cebolla,Roja,$/kg,27.4,32.4,II
Hortalizas secas,Papa,Blanca,$/kg,49.4,55.6,II
Hortalizas secas,Papa,Rosada,$/kg,46.4,51.3,II
Hortalizas secas,Zanahoria,,$/kg,53,59.4,I
Hortalizas secas,Zapallo,Criollo,$/kg,25,30,II
Hortalizas secas,Zapallo,Kabutiá,$/kg,13.1,16.1,II
Frutas Hoja Caduca/Nativos,Arándanos,,$/kg,600,669.2,I
Frutas Hoja Caduca/Nativos,Caqui,,$/kg,96.3,112.9,I
Frutas Hoja Caduca/Nativos,Ciruela,Blanca,$/kg,0,0,I
Frutas Hoja Caduca/Nativos,Ciruela,Roja,$/kg,93.7,106.6,II
Frutas Hoja Caduca/Nativos,Damasco,,$/kg,0,0,I
Frutas Hoja Caduca/Nativos,Durazno,,$/kg,80,92.1,I
Frutas Hoja Caduca/Nativos,Higo,,$/kg,109.3,134,E
Frutas Hoja Caduca/Nativos,Kiwi,,$/kg,169.7,184.8,I
Frutas Hoja Caduca/Nativos,Manzana,Cripps Pink,$/kg,68.8,78.8,I
Frutas Hoja Caduca/Nativos,Manzana,Red Delicious,$/kg,58.5,68.5,E
Frutas Hoja Caduca/Nativos,Manzana,Red Delicious atm. contr.,$/kg,0,0,E
Frutas Hoja Caduca/Nativos,Manzana,Granny Smith,$/kg,70.5,81,II
Frutas Hoja Caduca/Nativos,Manzana,Granny Smith atm. contr.,$/kg,0,0,II
Frutas Hoja Caduca/Nativos,Manzana,Fuji,$/kg,67.3,79.1,I
Frutas Hoja Caduca/Nativos,Manzana,Fuji atm. contr.,$/kg,0,0,I
Frutas Hoja Caduca/Nativos,Manzana,Gala,$/kg,39.6,49.6,I
Frutas Hoja Caduca/Nativos,Manzana,Gala atm. contr.,$/kg,0,0,I
Frutas Hoja Caduca/Nativos,Membrillo,,$/kg,40,50,I
Frutas Hoja Caduca/Nativos,Pelón,,$/kg,138.5,164,II
